Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Garrett McDaniels","LAA",0,0,0,10,0,10.2,5.0625012069943445,6.750001609325793,1.6875004023314482,0.3333333333333333,0.72916667,0.742857142,0.4,93.66802215576172,5.9062514081600686,5.99190714895871,6.978887234628419,5.264077129595771,-0.27859073877334595,"Garrett McDaniels",31751,680729
"Victor Mederos","LAA",0,2,0,5,3,17,7.411764705882353,6.352941176470588,2.1176470588235294,0.2916666666666667,0.69343066,0.326923076,0.16,,7.411764705882353,5.251115968476688,7.193959847618552,6.402400016434052,-0.2801579274237156,"Victor Mederos",31533,682989
"Chase Petty","CIN",0,3,0,3,2,6,10.500001773238482,12.000002026558265,4.50000075995935,0.5238095238095238,0.4787234,0.25,0.333333333,96.47760504645271,19.50000329315718,11.072867778879496,11.801804448498867,7.614412713524687,-0.2830883674323559,"Chase Petty",30170,695534
"Richard Lovelady","- - -",0,1,0,10,0,11.2,9.2571448750403,4.62857243752015,2.314286218760075,0.28125,0.56179775,0.514285714,0.3,91.48218712439903,8.485716135453607,5.804221719881848,6.992280016140246,4.970913273912584,-0.2843080461025238,"Richard Lovelady",19337,663992
"Blade Tidwell","NYM",1,1,0,4,2,15,6.00000076293955,6.00000076293955,2.40000030517582,0.3584905660377358,0.66901408,0.357142857,0.16,95.65446636105372,9.000001144409325,5.625858739011559,7.468470202552018,6.571368946470596,-0.28685423359274864,"Blade Tidwell",31701,694918
"Trent Thornton","SEA",2,0,0,33,0,42.1,6.803150423683758,2.9763783103616444,1.2755907044407047,0.28225806451612906,0.71146245,0.434108527,0.117647058,94.49817230504587,4.677165916282584,4.8533476219055025,4.741435723798785,4.7562870260836485,-0.2875175476074219,"Trent Thornton",17948,663423
"Thomas Harrington","PIT",0,1,1,3,1,8.2,7.269231302498399,7.269231302498399,3.1153848439278855,0.45454545454545453,0.48076923,0.416666666,0.2,92.0967002776732,15.576924219639427,8.227694837944865,8.442829015269112,6.611223848816984,-0.288734570145607,"Thomas Harrington",31989,802419
"Andrew Heaney","- - -",5,10,0,27,23,122.1,6.326975542603532,2.9427793221411775,1.8392370763382362,0.2765957446808511,0.70629371,0.367088607,0.157232704,90.18407698921536,5.517711229014708,5.650824481056491,5.587452419991102,4.9346176806631155,-0.2890596389770508,"Andrew Heaney",15423,571760
"Travis Adams","MIN",1,4,0,18,2,33.2,8.287129573618307,4.544554927468104,1.6039605626358013,0.32673267326732675,0.59288538,0.295238095,0.133333333,94.57825884359137,7.485149292300406,6.893103547991845,5.392562295249768,5.136471253772154,-0.29278433322906494,"Travis Adams",30180,701519
"Connor Brogdon","LAA",3,2,0,43,0,47,9.382981008078637,3.4468093499064385,2.10638349160949,0.2809917355371901,0.67226891,0.297709923,0.161764705,95.52049671519886,5.553192841515928,3.8451187082305065,5.241519809816277,4.429567982454096,-0.29811832308769226,"Connor Brogdon",21205,641401
"Ryan Fernandez","STL",0,4,1,32,0,30.1,10.08791377944339,4.747253543267478,1.780220078725304,0.3614457831325301,0.51569507,0.449438202,0.157894736,95.29318576388889,7.71428700780965,4.0666985059746805,5.1461256663964825,4.506106678711459,-0.3030291795730591,"Ryan Fernandez",24862,681676
"Jesse Chavez","ATL",0,1,0,4,0,8,9,5.625,4.5,0.38461538461538464,0.82089552,0.2,0.25,,9,6.46096460555169,9.510136318206786,6.093614947795868,-0.30538293719291687,"Jesse Chavez",5448,445926
"Thomas Hatch","- - -",2,1,0,12,1,34,5.823529411764706,4.5,1.8529411764705883,0.3113207547169811,0.72033898,0.451327433,0.162790697,93.21188225544674,5.823529411764706,4.805185874230545,6.017489259383257,5.290865451623412,-0.315320011228323,"Thomas Hatch",19264,641672
"Yuki Matsui","SDP",3,1,1,61,0,63.1,8.668422793021511,4.689474625732949,1.4210529168887724,0.25748502994011974,0.79452055,0.306818181,0.114942528,92.1051640070922,3.978948167288563,4.068216733837945,4.871978772181953,4.937210159812243,-0.316012978553772,"Yuki Matsui",33826,673513
"Kaleb Ort","HOU",2,2,1,49,0,46,9.586958111797518,5.282609571806796,1.5652176509057172,0.24545454545454545,0.70866142,0.405172413,0.142857142,96.30725211740655,4.891305159080366,3.3995156225835634,5.0264409797178615,4.642471386218704,-0.3171200454235077,"Kaleb Ort",20061,672391
"Richard Fitts","BOS",2,4,0,11,10,45,8,3.2,2.2,0.256,0.75107296,0.436090225,0.229166666,95.90719076095958,5,5.607431016455806,5.801802984873454,4.268547142876519,-0.31922832876443863,"Richard Fitts",30160,690916
"Walker Buehler","- - -",10,7,0,26,24,126,6.571428621166688,4.357142890121391,1.5714285833224688,0.2849604221635884,0.75350467,0.427135678,0.158273381,94.07746369349762,4.928571465875016,5.390532172495515,5.658945861118632,5.0899122437675866,-0.32146739959716797,"Walker Buehler",19374,621111
"Orlando Ribalta","WSN",0,0,0,22,0,24.1,9.246577275227017,6.287672547154371,2.2191785460544837,0.30985915492957744,0.71808511,0.376623376,0.162162162,96.41562917780749,7.027398729172533,5.454458648159348,6.505000036289522,5.643808951378028,-0.32434388995170593,"Orlando Ribalta",26247,687377
"Juan Burgos","- - -",1,1,0,13,0,13.1,9.450002253056109,5.4000012874606345,1.3500003218651586,0.375,0.68965517,0.404761904,0.133333333,,6.0750014483932135,5.737146981598596,5.01013676524173,4.794593442996055,-0.3327283412218094,"Juan Burgos",27271,686228
"Zach Brzykcy","WSN",0,1,0,26,0,23,9.391305905434303,4.695652952717151,2.3478264763585757,0.3333333333333333,0.56547619,0.291666666,0.166666666,94.83249362244898,9.000001492707874,5.8482318359148415,6.265571620018221,5.2874242983342015,-0.33538493514060974,"Zach Brzykcy",27783,694350
"Joey Estes","ATH",0,2,0,3,2,11,4.909090909090909,4.909090909090909,3.272727272727273,0.3157894736842105,0.63218391,0.238095238,0.16,91.50446026141827,9.818181818181818,5.713294339233672,8.680590863661333,7.457271124558016,-0.33759961277246475,"Joey Estes",26257,683155
"McCade Brown","COL",0,5,0,7,7,25.2,8.064935864033474,5.961039551676916,2.1038963123565586,0.32,0.71100917,0.345679012,0.162162162,94.31919642857143,7.363637093247956,6.506708669606391,6.953318514705727,6.136864718772557,-0.3395610749721527,"McCade Brown",30004,685326
"Ryan Pressly","CHC",2,3,5,44,0,41.1,6.096774381107649,3.701613017101073,1.3064516530944963,0.31007751937984496,0.72438163,0.515151515,0.162162162,93.47545680526859,4.354838843648321,5.212815239711732,5.046426699585773,4.53943526416783,-0.34585535526275635,"Ryan Pressly",7005,519151
"Tanner Houck","BOS",0,3,0,9,9,43.2,6.59542023144323,3.5038169979542158,2.061068822326009,0.3381294964028777,0.58461538,0.483221476,0.227272727,95.1952880859375,8.038168407071435,6.18617637663354,6.158037257618267,4.734446255265152,-0.3472352921962738,"Tanner Houck",19879,656557
"Daysbel Hernández","ATL",4,3,0,39,0,37,8.027028682199155,7.297298801999232,0.7297298801999231,0.25,0.78467153,0.463917525,0.073170731,97.71250497611464,3.4054061075996414,4.217253944351326,5.000001567606591,5.6543614837943235,-0.35122784972190857,"Daysbel Hernandez",20271,678226
"Sam Long","KCR",2,3,0,39,0,40.1,7.36363729223296,4.909091528155307,1.5619836680494157,0.328,0.65916399,0.396946564,0.145833333,93.36464914259928,5.355372576169426,4.952204721501,5.54009529917176,5.118694100001032,-0.3634489178657532,"Sam Long",25379,669674
