Name,Team,W,L,SV,G,GS,IP,SO,ER,BB,H,ERA,WHIP,MLBAMID
Nick Robertson,Jays,0,0,0,9,0,13.3,14,6,2,15,4.05,1.27,687798
Anthony Veneziano,Marlins,1,0,0,12,0,13.3,14,5,3,16,3.38,1.43,685107
Sam Aldegheri,Angels,1,2,0,3,3,13.0,10,7,10,15,4.85,1.92,691951
Michael Mercado,Phillies,1,2,0,5,2,13.0,10,16,9,16,11.08,1.92,675650
Ryan Miller,Angels,0,1,0,13,0,13.0,11,6,8,13,4.15,1.62,668943
Tyler Mahle,Rangers,0,1,0,3,3,12.7,10,7,4,14,4.97,1.42,641816
Erik Sabrowski,Guardians,0,0,1,8,0,12.7,19,0,4,6,0.0,0.79,681870
Seth Halvorsen,Rockies,2,1,2,12,0,12.3,13,2,2,8,1.46,0.81,678020
Jimmy Herget,Braves,0,1,0,8,0,12.3,15,6,3,13,4.38,1.3,623474
Luis Peralta,Rockies,0,0,0,15,0,12.3,14,1,5,7,0.73,0.97,678821
Carlos Rodriguez,Brewers,0,3,0,3,3,12.3,9,10,3,19,7.3,1.78,692230
Antonio Senzatela,Rockies,0,1,0,3,3,12.3,7,9,8,15,6.57,1.86,622608
Nick Vespi,Orioles,0,0,0,11,0,12.3,9,4,3,10,2.92,1.05,663989
Josh Walker,Mets,0,0,0,10,0,12.3,11,7,6,13,5.11,1.54,677020
Shane Bieber,Guardians,2,0,0,2,2,12.0,20,0,1,10,0.0,0.92,669456
Ben Heller,Pirates,0,1,0,8,0,12.0,15,15,6,19,11.25,2.08,621294
John McMillon,Marlins,2,1,0,10,0,12.0,13,2,5,7,1.5,1.0,669111
Vinny Nittoli,Orioles,0,1,0,9,0,12.0,8,2,2,10,1.5,1.0,657697
Zach Plesac,Angels,1,1,0,3,3,12.0,5,11,7,12,8.25,1.58,668676
Nick Avila,Giants,1,0,0,8,0,11.7,14,11,3,17,8.49,1.71,687014
Jake Bloss,Astros,0,1,0,3,3,11.7,11,9,3,16,6.94,1.63,814005
Easton Lucas,Jays,1,0,0,8,0,11.7,10,14,9,17,10.8,2.23,687922
Kumar Rocker,Rangers,0,2,0,3,3,11.7,14,5,6,12,3.86,1.54,677958
Peter Strzelecki,Guardians,0,0,0,10,0,11.7,9,3,3,11,2.31,1.2,657265
Johnny Cueto,Angels,0,2,0,2,2,11.3,6,9,3,14,7.15,1.5,456501
Logan Gillaspie,Padres,0,0,0,9,0,11.3,7,9,0,15,7.15,1.32,670810
Yoendrys Gómez,Yankees,0,0,0,5,0,11.3,10,5,7,11,3.97,1.59,672782
Kevin Herget,Brewers,0,0,1,7,0,11.3,9,2,3,6,1.59,0.79,643361
Brett de Geus,Jays,0,2,0,13,0,11.3,7,9,4,14,7.15,1.59,676969
Ryan Borucki,Pirates,0,0,0,14,0,11.0,13,9,4,14,7.36,1.64,621366
J.P. Feyereisen,Dodgers,0,1,1,10,0,11.0,9,10,5,11,8.18,1.45,656420
Parker Mushinski,Astros,0,0,0,10,0,11.0,3,8,5,11,6.55,1.45,656786
Sean Reynolds,Padres,0,0,0,9,0,11.0,21,1,5,10,0.82,1.36,669308
Josh Rogers,Rockies,2,0,0,6,0,11.0,3,8,3,15,6.55,1.64,642028
Kai-Wei Teng,Giants,0,0,0,4,0,11.0,7,12,8,15,9.82,2.09,678906
Joan Adon,Nationals,0,0,0,8,1,10.7,6,8,4,12,6.75,1.5,672851
Jaden Hill,Rockies,0,0,0,9,0,10.7,6,6,4,8,5.06,1.12,677955
Caleb Kilian,Cubs,0,1,0,2,1,10.7,7,5,6,11,4.22,1.59,668873
Kyle Nelson,Diamondbacks,0,0,0,11,0,10.7,8,5,4,8,4.22,1.12,669459
Ricardo Pinto,Phillies,0,0,1,6,0,10.7,8,13,5,19,10.97,2.25,620982
Austin Warren,Giants,0,0,0,6,0,10.7,7,2,5,9,1.69,1.31,681810
Jacob deGrom,Rangers,0,0,0,3,3,10.7,14,2,1,11,1.69,1.12,594798
Humberto Castellanos,Diamondbacks,0,0,1,7,0,10.3,7,6,4,11,5.23,1.45,528748
Caden Dana,Angels,1,2,0,3,3,10.3,8,11,7,14,9.58,2.03,702674
Jacob Lopez,Rays,0,0,0,4,1,10.3,8,6,7,5,5.23,1.16,682052
Joey Lucchesi,Mets,0,2,0,2,2,10.3,7,6,8,8,5.23,1.55,664192
Kirby Snead,Mariners,0,0,0,11,0,10.3,7,5,7,12,4.35,1.84,669912
Diego Castillo,Twins,0,0,0,7,0,10.0,6,3,8,8,2.7,1.6,650895
Luis Guerrero,Sox,0,0,0,9,0,10.0,9,0,2,6,0.0,0.8,692285
Joel Kuhnel,Rays,0,0,0,6,0,10.0,5,5,0,8,4.5,0.8,669270
Tyler Matzek,Braves,0,0,0,11,0,10.0,10,11,3,16,9.9,1.9,554431
Sean Newcomb,Athletics,1,0,0,7,0,10.0,7,7,8,9,6.3,1.7,656794
Jacob Waguespack,Rays,0,0,0,4,1,10.0,11,6,10,13,5.4,2.3,621097
