Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
SDP,Padres,8,8,25,25,0,0,,141,588,133,67,62,19,134,36,,10,3.96273,1.19789,8.56823,2.31047,3.70843,1.18852,0.228032,0.0614902,0.16654201224446297,,0.24441,0.292446,0.710063,3.9203,593.9000000000001,4.212056737588653,588,4.170212765957447,2.09936,1.90478,13,385.6199951171875,29,NL,Joe Musgrove,605397,12970,12970
NYY,Yankees,9,6,22,22,0,0,,132,547,118,63,58,19,134,40,,5,3.95528,1.19237,9.1223,2.698,3.38113,1.29998,0.245103,0.0724914,0.1726113185286522,,0.234931,0.283246,0.721787,3.99371,569.3000000000002,4.312878787878789,546,4.136363636363637,2.07347,1.76509,12,232.89999389648438,9,AL,Gerrit Cole,543037,13125,13125
CHW,White Sox,8,10,29,29,0,0,,161,683,144,80,74,22,158,59,,10,4.11208,1.25925,8.82992,3.30748,2.66968,1.22402,0.231621,0.0867598,0.1448613628745079,,0.2342,0.280891,0.713499,4.22547,655.4000000000002,4.07080745341615,628,3.900621118012422,2.07157,1.93686,15,245.5399932861328,4,AL,Shane Smith,681343,31687,31687
SDP,Padres,3,2,0,65,31,2,,65,255,39,19,18,6,99,25,,2,2.48277,0.98739,13.7968,3.44192,4.00846,0.789067,0.389845,0.0972556,0.29258961230516434,,0.172109,0.273072,0.795168,2.4609,585.8000000000001,9.012307692307694,527,8.107692307692307,2.06637,2.29563,0,27.860000610351562,29,NL,Mason Miller,695243,31757,31757
TOR,Blue Jays,9,8,22,43,0,1,,148,624,138,73,67,20,151,48,,6,4.05334,1.25788,9.16918,2.91039,3.15049,1.22496,0.241926,0.0767898,0.16513587534427643,,0.243076,0.296847,0.719878,3.96701,634.4000000000001,4.286486486486487,624,4.216216216216216,2.05356,1.65589,10,250.02000427246094,14,AL,Cody Ponce,664074,17920,17920
PIT,Pirates,9,8,25,37,0,1,,151,641,141,76,70,19,143,53,,8,4.16276,1.28895,8.53166,3.18887,2.67545,1.11719,0.222714,0.0832434,0.13947008550167084,,0.242992,0.292151,0.705007,4.0832,624.1,4.133112582781457,615,4.072847682119205,2.04797,1.87458,12,150.00999450683594,27,NL,Bubba Chandler,696149,29868,29868
TBR,Rays,10,9,27,27,0,0,,148,615,127,72,66,22,151,51,,7,4.0439,1.20775,9.20083,3.12914,2.94037,1.32929,0.245525,0.0835015,0.16202346980571747,,0.22813,0.273981,0.718656,4.19177,622.4000000000001,4.205405405405406,582,3.9324324324324325,2.02808,1.98602,14,129.10000610351562,12,AL,Ryan Pepiot,686752,26221,26221
MIN,Twins,8,9,27,27,0,0,,152,632,148,81,75,25,138,36,,6,4.41684,1.20853,8.1642,2.13613,3.82195,1.50719,0.218307,0.0571193,0.16118809208273888,,0.250228,0.286367,0.69306,4.3203,582.5,3.8322368421052633,585,3.848684210526316,2.02576,1.314,13,494.3399963378906,8,AL,Bailey Ober,641927,21224,21224
CLE,Guardians,10,9,30,30,0,0,,171,730,151,82,76,22,175,74,,6,3.96862,1.30817,9.16691,3.8593,2.37528,1.13625,0.239361,0.100772,0.13858918845653534,,0.23206,0.284776,0.732591,4.13703,712.2000000000002,4.164912280701755,679,3.9707602339181287,2.01929,2.24087,16,144.74000549316406,5,AL,Gavin Williams,668909,30122,30122
LAA,Angels,8,7,21,21,0,0,,117,490,107,56,52,15,123,39,,4,3.98585,1.25674,9.4919,3.03171,3.13087,1.17149,0.250879,0.0801308,0.17074856907129288,,0.240186,0.298563,0.721592,3.83984,520.1000000000001,4.445299145299146,507,4.333333333333333,2.0128,1.68251,11,397.1099853515625,1,AL,Grayson Rodriguez,680570,24492,24492
